STAID,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,COMID,COMID_DRAIN_SQKM,COMID_UNITAREA_SQKM,ABS_DIFF,DA_VALID,FLOW_SCALE,REL_DIFF,COV_TRAIN,COV_EVAL
01442500,"Brodhead Creek at Minisink Hills, PA",677.5605,40.998706,-75.142679,73005204,699.3797019430142,8.584861941822298,21.81920194301415,True,1.0,0.03220258846702862,1.0,1.0
01446500,DELAWARE RIVER AT BELVIDERE NJ,11769.17,40.826389,-75.0825,73005181,11795.40023112227,28.11571834391241,26.2302311222702,True,0.0670616769800745,0.0022287239560878297,1.0,1.0
01447500,"Lehigh River at Stoddartsville, PA",240.1902,41.130363,-75.625467,73003661,242.95823155553612,43.580816983255865,2.7680315555361403,True,0.9364850925901724,0.011524331781796843,1.0,1.0
01447720,"Tobyhanna Creek near Blakeslee, PA",308.1267,41.084808,-75.605467,73003566,303.76928112216456,32.71172872656204,4.357418877835471,True,1.0,0.01414164652993548,1.0,1.0
01447800,Lehigh R bl Francis E Walter Res nr White Haven PA,752.6691,41.104806,-75.732136,73003454,800.6115974394138,85.38118088453581,47.94249743941384,True,0.4384887050900796,0.063696646294386,1.0,1.0
01449000,"Lehigh River at Lehighton, PA",1521.781,40.829259,-75.705189,73005225,1501.9495235186569,67.17842280845242,19.83147648134309,True,1.0,0.013031754556892936,0.9286133385487971,1.0
01450500,"Aquashicola Creek at Palmerton, PA",198.1143,40.806205,-75.597964,73005598,203.82251368528637,35.39280502950535,5.708213685286353,True,0.838718245685029,0.028812729244109856,1.0,1.0
01451500,"Little Lehigh Creek near Allentown, PA",212.0562,40.58232,-75.482961,73005682,212.3638628841846,42.121949126548046,0.3076628841846229,True,0.9926959010548086,0.0014508554061829972,1.0,1.0
01452000,"Jordan Creek at Allentown, PA",196.5627,40.623153,-75.482405,73005689,212.55930621591068,110.76264168923274,15.996606215910674,True,0.8555776029539597,0.08138169762579917,1.0,1.0
01457000,MUSCONETCONG RIVER NEAR BLOOMSBURY NJ,366.7752,40.672222,-75.060833,73005764,335.73804962763217,250.0626885575827,31.03715037236782,True,1.0,0.08462172571201057,1.0,1.0
01463500,DELAWARE RIVER AT TRENTON NJ,17579.75,40.221667,-74.778056,73005147,17498.341008757274,98.32841929957758,81.40899124272619,True,1.0,0.004630838962028822,1.0,1.0
01469500,"Little Schuylkill River at Tamaqua, PA",114.3441,40.807033,-75.971871,73005775,114.437195959138,6.077211352230325,0.0930959591379974,True,0.98468113847911,0.0008141737014677399,1.0,1.0
01470500,"Schuylkill River at Berne, PA",924.7293,40.522593,-75.998268,73005425,926.0227356989452,41.64149492262721,1.293435698945359,True,0.9689387784624772,0.0013987181967148215,1.0,1.0
